Student_ID,GPA,SAT_Score,Class_Rank
1,3.02,959.0,99
2,3.32,1007.0,69
3,3.42,976.0,59
4,3.47,1147.0,54
5,2.91,1057.0,110
6,3.04,959.0,97
7,3.92,1110.0,9
8,3.25,1097.0,76
9,3.71,1134.0,30
10,3.9,1384.0,11
11,3.11,994.0,90
12,3.87,1297.0,14
13,3.15,979.0,86
14,4.0,1106.0,1
15,4.0,1240.0,1
16,4.0,1094.0,1
17,3.85,1268.0,16
18,3.19,1202.0,82
19,4.0,1128.0,1
20,3.2,1096.0,81
21,3.64,1171.0,37
22,3.36,965.0,65
23,3.23,1152.0,78
24,2.78,899.0,123
25,3.0,1064.0,101
26,3.25,1044.0,76
27,2.93,907.0,108
28,2.86,794.0,115
29,3.85,1156.0,16
30,2.86,917.0,115
31,3.52,1079.0,49
32,4.0,1310.0,1
33,2.56,846.0,141
34,3.36,992.0,65
35,4.0,1194.0,1
36,3.62,1024.0,39
37,3.69,1128.0,32
38,3.9,1197.0,11
39,3.2,886.0,81
40,3.54,1100.0,47
41,2.38,1019.0,152
42,3.74,1106.0,27
43,3.52,1114.0,49
44,2.88,1114.0,113
45,2.79,1015.0,122
46,2.85,944.0,116
47,3.34,969.0,67
48,3.49,1156.0,52
49,2.94,1019.0,107
50,4.0,1305.0,1
51,3.47,1110.0,54
52,3.22,1112.0,79
53,3.53,1250.0,48
54,3.12,929.0,89
55,3.45,1199.0,56
56,3.81,1285.0,20
57,3.16,880.0,85
58,3.49,1209.0,52
59,3.94,1436.0,7
60,4.0,1253.0,1
61,3.17,1021.0,84
62,3.14,1101.0,87
63,4.0,1229.0,1
64,3.69,1164.0,32
65,3.24,1068.0,77
66,3.84,1034.0,17
67,4.0,1057.0,1
68,3.97,1251.0,4
69,3.79,1135.0,22
70,3.59,1178.0,42
71,3.33,1007.0,68
72,4.0,1412.0,1
73,3.42,1150.0,59
74,3.21,1079.0,80
75,4.0,1261.0,1
76,3.68,1137.0,33
77,3.17,1004.0,84
78,3.66,1106.0,35
79,3.18,1002.0,83
80,4.0,1241.0,1
81,3.29,1294.0,72
82,3.61,1140.0,40
83,3.18,944.0,83
84,4.0,1210.0,1
85,3.93,1242.0,8
86,4.0,1319.0,1
87,2.98,798.0,103
88,3.89,1167.0,12
89,4.0,1477.0,1
90,3.43,1028.0,58
91,3.97,1135.0,4
92,2.83,832.0,118
93,3.1,874.0,91
94,3.0,1133.0,101
95,3.05,963.0,96
96,3.48,1261.0,53
97,3.7,954.0,31
98,3.51,1124.0,50
99,3.92,1155.0,9
100,4.0,1219.0,1
101,3.36,1093.0,65
102,2.82,861.0,119
103,3.18,1025.0,83
104,3.38,1246.0,63
105,3.79,1135.0,22
106,3.63,1053.0,38
107,3.79,1159.0,22
108,4.0,1234.0,1
109,2.71,915.0,130
110,3.18,951.0,83
111,3.46,1214.0,55
112,3.61,1194.0,40
113,4.0,1141.0,1
114,3.32,982.0,69
115,4.0,1142.0,1
116,2.98,1066.0,103
117,3.83,1196.0,18
